YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2007,18,164500,8900,cargurus
2013,12,83677,23492,cargurus
2018,7,54123,41666,cargurus
2016,9,83677,23492,cargurus
2018,7,58142,42997,cargurus
2010,15,155181,11999,cargurus
2019 ,6,43416,40998,cargurus
2013,12,186123,6104,cargurus
2008,17,104232,5215,cargurus
2011,14,97648,18168,cargurus
2007,18,142780,8895,cargurus
2004,21,130146,13000,cargurus
2018,7,54000,41614,cargurus
2010,15,146895,13202,cargurus
2003,22,87900,14000,cargurus
2025,new,0,96000,cargurus
